date,text,type,username,tweet,road_closure,modified_text,location
2016-11-29 21:54:29+00:00,NEW  Traffic congestion in Duval on I-95 south at Exit 337 I-295 W ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-95 south at Exit 337 I-295 W ,1,At New  Traffic Congestion At Duval At Interstate 95 South At Exit 337 Interstate 295 West ,"{'Exit 337 Interstate', 'Interstate 95'}"
2016-11-29 21:49:20+00:00,UPDATE  Traffic congestion in Duval on I-95 south from Fuller Warren to at Exit 347 Emerson ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south from Fuller Warren to at Exit 347 Emerson ,1,At Update  Traffic Congestion At Duval At Interstate 95 South From Fuller Warren To At Exit 347 Emerson ,{'Exit 347 Emerson'}
2016-11-29 21:44:21+00:00,NEW  Traffic congestion in Duval on SR-202   Butler Blvd west from beyond Southside to at I-95 ,official,fl511_northeast,NEW  Traffic congestion in Duval on SR-202   Butler Blvd west from beyond Southside to at I-95 ,1,At New  Traffic Congestion At Duval At Sr-202   Butler Boulevard West From Beyond Southside To At Interstate 95 ,{'Interstate 95'}
2016-11-29 21:39:39+00:00,NEW  Traffic congestion in Duval on I-95 south from beyond US-1 to at Exit 347 Emerson ,official,fl511_northeast,NEW  Traffic congestion in Duval on I-95 south from beyond US-1 to at Exit 347 Emerson ,1,At New  Traffic Congestion At Duval At Interstate 95 South From Beyond Us-1 To At Exit 347 Emerson ,"{'Interstate 95 South From Beyond', 'Exit 347 Emerson'}"
2016-11-29 21:39:38+00:00,UPDATE  Traffic congestion in Duval on I-295 W north from Exit 61 I-95 to at Exit 3 St Aug Rd ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-295 W north from Exit 61 I-95 to at Exit 3 St Aug Rd ,1,At Update  Traffic Congestion At Duval At Interstate 295 West North From Exit 61 Interstate 95 To At Exit 3 St Aug Rd ,{'Exit 3 St Aug Rd'}
2016-11-29 21:39:38+00:00,UPDATE  Traffic congestion in Duval on I-95 south from beyond University to ramp to Exit 344 Butler ,official,fl511_northeast,UPDATE  Traffic congestion in Duval on I-95 south from beyond University to ramp to Exit 344 Butler ,1,At Update  Traffic Congestion At Duval At Interstate 95 South From Beyond University To Ramp To Exit 344 Butler ,
2016-11-29 21:39:37+00:00,CLEARED  Traffic congestion in Duval on I-95 south from beyond 8th St to ramp to I-10 ,official,fl511_northeast,CLEARED  Traffic congestion in Duval on I-95 south from beyond 8th St to ramp to I-10 ,1,At Cleared  Traffic Congestion At Duval At Interstate 95 South From Beyond 8Th St To Ramp To Interstate 10 ,
2016-11-29 21:34:32+00:00,"CLEARED  Disabled truck in Duval on I-295 W south before Pritchard Rd, right shoulder blocked ",official,fl511_northeast,"CLEARED  Disabled truck in Duval on I-295 W south before Pritchard Rd, right shoulder blocked ",1,"At Cleared  Disabled Truck At Duval At Interstate 295 West South Before Pritchard Rd, Right Shoulder Blocked ",
2016-11-29 21:34:31+00:00,CLEARED  Disabled vehicle in Duval on I-295 E north at Exit 53 Butler ,official,fl511_northeast,CLEARED  Disabled vehicle in Duval on I-295 E north at Exit 53 Butler ,1,At Cleared  Disabled Vehicle At Duval At Interstate 295 East North At Exit 53 Butler ,{'East North'}
2016-11-29 21:29:44+00:00,"UPDATE  Disabled vehicle in Duval on I-295 W north at Buckman, left shoulder blocked ",official,fl511_northeast,"UPDATE  Disabled vehicle in Duval on I-295 W north at Buckman, left shoulder blocked ",1,"At Update  Disabled Vehicle At Duval At Interstate 295 West North At Buckman, Left Shoulder Blocked ","{'Buckman', 'West North'}"
